"Site_Orig","Lat","Long","Date","Depth","Block","Class","Species","Total","Pres","Site"
"Shelly Beach",-33.8,151.3,2008-03-08,4.9,2,"Actinopterygii","Hypoplectrodes maccullochi",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2008-03-08,5,2,"Actinopterygii","Hypoplectrodes maccullochi",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2008-03-08,5,2,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-03-25,3,1,"Actinopterygii","Ostorhinchus limenus",12,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-03-25,3,2,"Actinopterygii","Ostorhinchus limenus",12,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-03-25,3,2,"Actinopterygii","Centropogon australis",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-03-25,3,2,"Actinopterygii","Latropiscis purpurissatus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-03-25,4,2,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,4,1,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,4,2,"Actinopterygii","Ostorhinchus limenus",8,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,4,2,"Actinopterygii","Latropiscis purpurissatus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,4,2,"Elasmobranchii","Orectolobus maculatus",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,3.9,1,"Actinopterygii","Ostorhinchus limenus",7,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,3.9,2,"Actinopterygii","Acanthistius ocellatus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,3.9,2,"Actinopterygii","Ostorhinchus limenus",5,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2011-11-26,3.9,2,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-05-01,3,2,"Actinopterygii","Gymnothorax prasinus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-05-01,3,1,"Actinopterygii","Istigobius hoesei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-05-01,3,2,"Actinopterygii","Istigobius hoesei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,3,1,"Actinopterygii","Ostorhinchus limenus",23,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,3,2,"Actinopterygii","Ostorhinchus limenus",5,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,3,1,"Actinopterygii","Gymnothorax prasinus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,3,1,"Actinopterygii","Heteroclinus whiteleggii",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,1,"Actinopterygii","Ostorhinchus limenus",13,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,2,"Actinopterygii","Ostorhinchus limenus",14,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,1,"Actinopterygii","Enneapterygius atrogulare",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,1,"Actinopterygii","Heteroclinus whiteleggii",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,1,"Actinopterygii","Istigobius hoesei",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-01-17,4,2,"Actinopterygii","Istigobius hoesei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2014-05-23,5,2,"Actinopterygii","Ostorhinchus limenus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2014-08-08,3,1,"Actinopterygii","Ostorhinchus limenus",4,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2014-08-08,3,2,"Actinopterygii","Ostorhinchus limenus",8,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2014-08-08,3,1,"Actinopterygii","Istigobius hoesei",4,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2014-08-08,3,2,"Actinopterygii","Istigobius hoesei",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-03-29,3,1,"Actinopterygii","Ostorhinchus limenus",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-03-29,3,2,"Actinopterygii","Ostorhinchus limenus",45,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-03-29,3,1,"Actinopterygii","Istigobius hoesei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2015-03-29,3,2,"Actinopterygii","Istigobius hoesei",24,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-02-07,5,1,"Actinopterygii","Ostorhinchus limenus",35,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-02-07,5,1,"Actinopterygii","Istigobius hoesei",8,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2013-02-07,5,2,"Actinopterygii","Istigobius hoesei",5,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,2,"Actinopterygii","Ostorhinchus limenus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,2,"Actinopterygii","Heteroclinus roseus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,2,"Actinopterygii","Istigobius hoesei",5,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,2,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,1,"Actinopterygii","Ostorhinchus limenus",6,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,1,"Actinopterygii","Istigobius hoesei",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,5,1,"Actinopterygii","Trinorfolkia clarkei",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,2,"Actinopterygii","Ostorhinchus limenus",4,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,2,"Actinopterygii","Eocallionymus papilio",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,2,"Actinopterygii","Istigobius hoesei",5,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,2,"Actinopterygii","Plotosus lineatus",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,2,"Actinopterygii","Trinorfolkia clarkei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,1,"Actinopterygii","Ostorhinchus limenus",3,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,1,"Actinopterygii","Istigobius hoesei",2,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2017-03-22,4,1,"Actinopterygii","Scorpaena jacksoniensis",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2016-02-05,6,1,"Actinopterygii","Ostorhinchus limenus",12,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2016-02-05,6,2,"Actinopterygii","Ostorhinchus limenus",20,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2016-02-05,6,2,"Actinopterygii","Istigobius hoesei",1,1,"Shelly Beach"
"Shelly Beach",-33.8,151.3,2016-02-05,6,2,"Elasmobranchii","Orectolobus maculatus",1,1,"Shelly Beach"
