"Species","Pres","Year","Site","Dataset"
"Orectolobus maculatus",1,"2017","Shelly Beach","iNat"
"Pseudocaranx georgianus",1,"2017","Shelly Beach","iNat"
"Fistularia commersonii",1,"2017","Shelly Beach","iNat"
"Scobinichthys granulatus",1,"2017","Shelly Beach","iNat"
"Achoerodus viridis",1,"2017","Shelly Beach","iNat"
"Mecaenichthys immaculatus",1,"2017","Shelly Beach","iNat"
"Cristiceps aurantiacus",1,"2017","Shelly Beach","iNat"
"Synodus dermatogenys",1,"2017","Bare Island","iNat"
"Brachaluteres jacksonianus",1,"2017","Shelly Beach","iNat"
"Parupeneus spilurus",1,"2017","Shelly Beach","iNat"
"Myliobatis tenuicaudatus",1,"2017","Shelly Beach","iNat"
"Trygonorrhina fasciata",1,"2017","Shelly Beach","iNat"
"Thalassoma lunare",1,"2017","Shelly Beach","iNat"
"Girella tricuspidata",1,"2017","Shelly Beach","iNat"
"Meuschenia trachylepis",1,"2017","Shelly Beach","iNat"
"Eupetrichthys angustipes",1,"2017","Shelly Beach","iNat"
"Sphyraena obtusata",1,"2017","Shelly Beach","iNat"
"Phyllopteryx taeniolatus",1,"2017","Kurnell","iNat"
"Heteroscarus acroptilus",1,"2017","Shelly Beach","iNat"
"Pictilabrus laticlavius",1,"2017","Shelly Beach","iNat"
"Urolophus kapalensis",1,"2017","Shelly Beach","iNat"
"Schuettea scalaripinnis",1,"2017","Shelly Beach","iNat"
"Trachinops taeniatus",1,"2017","Shelly Beach","iNat"
"Scorpaena jacksoniensis",1,"2017","Camp Cove","iNat"
"Pseudorhombus jenynsii",1,"2017","Camp Cove","iNat"
"Plotosus lineatus",1,"2017","Camp Cove","iNat"
"Pseudorhombus jenynsii",1,"2017","Clifton Gardens","iNat"
"Filicampus tigris",1,"2017","Clifton Gardens","iNat"
"Hippocampus whitei",1,"2017","Clifton Gardens","iNat"
"Parma microlepis",1,"2017","Shelly Beach","iNat"
"Vincentia novaehollandiae",1,"2017","Camp Cove","iNat"
"Dicotylichthys punctulatus",1,"2017","Camp Cove","iNat"
"Urolophus kapalensis",1,"2017","Camp Cove","iNat"
"Cnidoglanis macrocephalus",1,"2017","Camp Cove","iNat"
"Platycephalus fuscus",1,"2017","Shelly Beach","iNat"
"Olisthops cyanomelas",1,"2017","Shelly Beach","iNat"
"Upeneichthys lineatus",1,"2017","Shelly Beach","iNat"
"Sillago ciliata",1,"2017","Shelly Beach","iNat"
"Notolabrus gymnogenis",1,"2017","Shelly Beach","iNat"
"Sufflamen chrysopterum",1,"2017","Oak Park","iNat"
"Plotosus lineatus",1,"2017","Oak Park","iNat"
"Cristiceps aurantiacus",1,"2017","Kurnell","iNat"
"Pegasus volitans",1,"2017","Bare Island","iNat"
"Antennarius striatus",1,"2017","Camp Cove","iNat"
"Cochleoceps orientalis",1,"2017","Kurnell","iNat"
"Acanthopagrus australis",1,"2017","Shelly Beach","iNat"
"Gerres subfasciatus",1,"2017","Shelly Beach","iNat"
"Scorpis lineolata",1,"2017","Shelly Beach","iNat"
"Latropiscis purpurissatus",1,"2017","Shelly Beach","iNat"
"Brachaluteres jacksonianus",1,"2017","Clifton Gardens","iNat"
"Enoplosus armatus",1,"2017","Shelly Beach","iNat"
"Myxus elongatus",1,"2017","Shelly Beach","iNat"
"Pseudolabrus guentheri",1,"2017","Shelly Beach","iNat"
"Cheilodactylus fuscus",1,"2017","Shelly Beach","iNat"
"Atherinomorus vaigiensis",1,"2017","Shelly Beach","iNat"
"Chrysophrys auratus",1,"2017","Shelly Beach","iNat"
"Enneapterygius atrogulare",1,"2017","Shelly Beach","iNat"
"Hippocampus whitei",1,"2017","Shelly Beach","iNat"
"Dicotylichthys punctulatus",1,"2017","Shelly Beach","iNat"
"Chelmonops truncatus",1,"2017","Shelly Beach","iNat"
